TERM_NAME,TERM_BASEWORD,TYPE
ACTIVE NOISE CANCELLATION,ACTIVE NOISE CANCELLATION,S1
AMPLIFIER,AMPLIFIER,S1
ANTENNA,ANTENNA,S1
ANTENNAE,ANTENNA,S1
NAV DISC,NAV DISC,S1
MAP DISC,NAV DISC,S1
CHEVROLET DISC,NAV DISC,S1
NAV DIS,NAV DISC,S1
NAVIGATIONAL DISC,NAV DISC,S1
NAVAGATION DISC,NAV DISC,S1
NAV DISK,NAV DISC,S1
NAV MANUAL,NAV MANUAL,S1
OWNERS MANUALS,NAV MANUAL,S1
NAVIGATION SCREEN,NAV SCREEN,S1
NAVI SCREEN,NAV SCREEN,S1
REAR DISPLAY,NAV SCREEN,S1
HALF SCREEN,NAV SCREEN,S1
DISPLAY SCREEN,NAV SCREEN,S1
NAV/RADIO SCREEN,NAV SCREEN,S1
NAV SCREEN,NAV SCREEN,S1
GPS,RADIO OPERATION,S1
N AVIGATION SYSTEM,RADIO OPERATION,S1
ALL BANDS,RADIO OPERATION,S1
RADIO,RADIO OPERATION,S1
C/D PLAYER,RADIO OPERATION,S1
RADIO BEGAN,RADIO OPERATION,S1
C\D PLAYER,RADIO OPERATION,S1
SIRRIUS,RADIO OPERATION,S1
SETTINGS/FUNCTIONS ON DISPLAY,RADIO OPERATION,S1
RELOADING DATA,RADIO OPERATION,S1
C D PLAYER,RADIO OPERATION,S1
NAVIGATION SYSTEM,RADIO OPERATION,S1
SETTINGS/FUNCTIONS ON DISPLAY--'ARROWS',RADIO OPERATION,S1
THE NAVAGATION SYSTEM,RADIO OPERATION,S1
SETTING DESTINATION,RADIO OPERATION,S1
CLOCK,RADIO OPERATION,S1
STEREO,RADIO OPERATION,S1
CLOCK,RADIO OPERATION,S1
FM RADIO,RADIO OPERATION,S1
SHUFFLE,RADIO OPERATION,S1
NAVIGATIONAL SUSTEM,RADIO OPERATION,S1
ESTEREO,RADIO OPERATION,S1
RADIO GOES,RADIO OPERATION,S1
NAV NOT,RADIO OPERATION,S1
ICS,RADIO OPERATION,S1
CD/DVD PLAYER,RADIO OPERATION,S1
RADIO ISN'T,RADIO OPERATION,S1
NAV SYSTEM,RADIO OPERATION,S1
MODULE SERVICE,RADIO OPERATION,S1
STATES-CLOCK,RADIO OPERATION,S1
CENTER INFO CENTER,RADIO OPERATION,S1
CD,RADIO OPERATION,S1
DVD SYSTEM,RADIO OPERATION,S1
SIRRUS,RADIO OPERATION,S1
IN INFO MODE,RADIO OPERATION,S1
REWIND,RADIO OPERATION,S1
NAVIGATION,RADIO OPERATION,S1
AUDIO,RADIO OPERATION,S1
RADIO STATION,RADIO OPERATION,S1
FM STATION,RADIO OPERATION,S1
RADIO WOULD,RADIO OPERATION,S1
CENTER STACK,RADIO OPERATION,S1
DVD IN FRONT PLAYER,RADIO OPERATION,S1
OVERHEAD ENTERTAINMENT CONSOLE,RSE,S1
DVD DISPLAY,RSE,S1
HEADPHONE,RSE,S1
REAR VIDEO,RSE,S1
RSE,RSE,S1
HEADRESET DVD'S,RSE,S1
REAR SEAT ENTERTAINMENT,RSE,S1
SIDE/HEADREST DVD,RSE,S1
REAR OVERHEAD MONITOR,RSE,S1
REMOTE,RSE,S1
REAR DVD PLAYERS,RSE,S1
VIDEO DISPLAY,RSE,S1
HEADSETS,RSE,S1
REAR TV,RSE,S1
HEADPHONES,RSE,S1
ONE HEAD SET,RSE,S1
DVD ON THE D/S,RSE,S1
R/S DVD PLAYER,RSE,S1
COVER ON DVD PLYER,RSE,S1
DVD HOUSING,RSE,S1
CD PLAYER IN THE 2ND,RSE,S1
DVD HEADRESTS,RSE,S1
HEADREST SCREEN,RSE,S1
ENTERTAINMENT CENTER,RSE,S1
O/HD DVD SCREEN,RSE,S1
LEFT SIDE HEAD REST DVD,RSE,S1
HEAD PHONES,RSE,S1
OVERHEAD DVD SCREEN,RSE,S1
REAR ENTERTAINMENT SYSTEM,RSE,S1
REAR DVD SCREEN,RSE,S1
PASSENGER HEADREST,RSE,S1
DVD IN HEADREST,RSE,S1
HEADSET,RSE,S1
SEAT HEADREST MONITOR,RSE,S1
RIGHT SIDE DVD,RSE,S1
HEADREST DVD,RSE,S1
DVD CONTROL MODULE,RSE,S1
DVD PLAYER,RSE,S1
SPKS,SPEAKER,S1
SPEAKERS,SPEAKER,S1
BOCINA,SPEAKER,S1
SPEAKER,SPEAKER,S1
SPEAKER,SPEAKER,S1
LAS BOCINAS,SPEAKER,S1
SPK,SPEAKER,S1
FLASH DRIVE,USB/AUX PORT,S1
MP3,USB/AUX PORT,S1
MEMORY STICK,USB/AUX PORT,S1
IPOD,USB/AUX PORT,S1
USB,USB/AUX PORT,S1
RECEPTACLE,USB/AUX PORT,S1
PLUG IN I-PHONE,USB/AUX PORT,S1
AUX,USB/AUX PORT,S1
IPAD,USB/AUX PORT,S1
BACKUP CAMERA,WLO-BACK UP CAMERA,S1
BACK UP CAMERA,WLO-BACK UP CAMERA,S1
BACK-UP CAMERA,WLO-BACK UP CAMERA,S1
REAR VEIWING CAMERA,WLO-BACK UP CAMERA,S1
BATTERY,WLO-BATTERY,S1
TRUCK WILL NOT START,WLO-BATTERY,S1
START CRANKS SLOW,WLO-BATTERY,S1
BLINDSIDE,WLO-BLIND ZONE,S1
BLIND SPOT DECTECTION,WLO-BLIND ZONE,S1
BLIND ASSIST,WLO-BLIND ZONE,S1
BLIND ZONE,WLO-BLIND ZONE,S1
BLIND SIDE,WLO-BLIND ZONE,S1
PAIRING,WLO-BLUE TOOTH AND HANDS FREE,S1
HANDS FREE,WLO-BLUE TOOTH AND HANDS FREE,S1
HANDSFREE,WLO-BLUE TOOTH AND HANDS FREE,S1
BLUTOOTH,WLO-BLUE TOOTH AND HANDS FREE,S1
BLUETOOT H,WLO-BLUE TOOTH AND HANDS FREE,S1
BLUETOOTH,WLO-BLUE TOOTH AND HANDS FREE,S1
BLUE TOOTH,WLO-BLUE TOOTH AND HANDS FREE,S1
WIRELESS,WLO-BLUE TOOTH AND HANDS FREE,S1
BRAKING,WLO-BRAKES,S1
BRAKING,WLO-BRAKES,S1
BRAKING---SOUND,WLO-BRAKES,S1
COMPASS,WLO-COMPASS,S1
CRUISE CONTROL,WLO-CRUISE CONTROL,S1
BUTTONS,WLO-DIC BUTTONS,S1
SELECTOR PAD,WLO-DIC BUTTONS,S1
DIC,WLO-DIC BUTTONS,S1
GARAGE DOOR,WLO-GARAGE DOOR OPENER,S1
HOMELINK,WLO-GARAGE DOOR OPENER,S1
GARAGE DO OR,WLO-GARAGE DOOR OPENER,S1
HEADLIGHTS,WLO-HEADLIGHTS,S1
HEADLIGHT,WLO-HEADLIGHTS,S1
HVAC CONTOL,WLO-HVAC,S1
A/C FAN,WLO-HVAC,S1
A/C CONTROL HEAD,WLO-HVAC,S1
IPC,WLO-IPC,S1
FOB,WLO-KEY FOB,S1
KEYLESS,WLO-KEYLESS,S1
MIRROR,WLO-MIRROR,S1
ONSTAR,WLO-ONSTAR,S1
ON STAR,WLO-ONSTAR,S1
OUSIDE TEMP,WLO-OUTSIDE AIR TEMP,S1
OUTSIDE AIR TEMPERATURE,WLO-OUTSIDE AIR TEMP,S1
FRONT OBJECT SENSORS,WLO-PARK ASSIST,S1
PARK ASSIST,WLO-PARK ASSIST,S1
PARKING ASSIST,WLO-PARK ASSIST,S1
REMOTE START,WLO-REMOTE START,S1
SEATS,WLO-SEATS,S1
SEAT REMOVAL HANDLE,WLO-SEATS,S1
HAZZARD SWITCH,WLO-SWITCHES,S1
WASHER,WLO-WASHER,S1
DRIVERS WINDOW,WLO-WINDOWS,S1
WINDOWS,WLO-WINDOWS,S1
WIPER,WLO-WIPER,S1
WIPERS,WLO-WIPER,S1
XM RECEPTION,XM OPERATION,S1
XM SIGNAL,XM OPERATION,S1
XM,XM OPERATION,S1
XM RADIO,XM OPERATION,S1
ARROWSFADE--ADJUSTMENT,ARROWS FADE,SY
REVERSE CAMERA DOES NOT COME,BACKUP CAMERA INOP,SY
BEEP NOISE,BEEPING NOISE,SY
BENT,BENT,SY
BLANKS OUT,BLANK SCREEN,SY
BLACKED OUT,BLANK SCREEN,SY
WILL BLANK OUT,BLANK SCREEN,SY
GOES BLANK,BLANK SCREEN,SY
GOING BLANK,BLANK SCREEN,SY
BLANK SCREEN,BLANK SCREEN,SY
