ID_val,Verbatim,Area,SubArea
12079,It is not an intuitive layout,Other,Not Enough Info
20654,The phone must be plugged into the blue tooth for it to recognize it.,Bluetooth,Customer Education
15360,It doesn't seem to have a default mobile device that it pairs with.  Meaning 90% of the time I want it paired with my phone but I do occasionally pair it with my iPad for more music.  When I park the car and come back hours later I want it to automatically pair back to my phone (default) but it's still connected to my iPad.  I finally figured out how to quickly connect but would prefer not to have to do so.,Bluetooth,Won't/Slow Connect
6818,"Don't use voice commands often, so not much experience. Have noticed troubles w/system understanding commands, so I don't use it much",Voice Recognition,Poor Recognition
12736,"Sometimes, the navigation system can find the actual street address, it will find the street but not the address which is of no use.",Navigation,Map Info
15370,"It's a bit random. At times I get in the car and everything just works. Other times I have to turn bluetooth off and on on my phone. Sometimes that works the first time, sometimes it works the 5th time. It always eventually works. I am connecting using a Google Pixel with the latest version of Android. There is only one other device that is listed in my paired devices but there is no pattern on this happening when both devices are nearby.",Bluetooth,Won't/Slow Connect
3908,Voice recognition is sensitive to voice pitch and timber.  My husbandâ€™s voice is rather gravelly and not easily understood by the recognition system.,Voice Recognition,Poor Recognition
4623,"I will say, Call Tom, Home. Sometimes it says your WiFi is weak, you caN only make phone calls. Sometimes nothing is said and nothing happens. Sometimes it calls totally wrong person with a completely different name.",Voice Recognition,Poor Recognition
11493,You have to raise you voice to get the voice recognition system to function properly. The volume on the speakers after connecting to a call is not loud enough to be heard while driving. The road noise makes it difficult to hear the caller.,Voice Recognition,DTU
18499,(Copied from DEXP97): First time I fueled vehicle the gas latch popped open while driving home and randomly while sitting in the driveway - only happened first week The rain sensor wipers have randomly gone on at least twice. The side mirror avoidance sensors flashed when we were only vehicle on the road alone highway driving no cars on either side of us. Manual does say sensors will calibrate as we get more driving miles on our car. I think this is getting better. Seat auto adjusts to wrong driver - this may be user inexperience?,Not PPEC 7,Other
9440,I've stopped trying to use it.  Very rarely understands navigation voice inputs.  Phone pairing concerns with my primary phone prevent me from using the voice commands for the phone.,Voice Recognition,Poor Recognition
19125,"(Copied from AEN97): The Sirius program, FM and AM Radio just shut down and went silent about 3:00 PM while driving on the highway from L.A. to SF. Just went dead. Following day no problems.",Audio,No Audio
310,"besides being in a very bad location, it does not allow for the ipod or other devices to left in vehicle without being observed by persons outside of vehicle, ie. when parked etc...",USB/Aux In,Poor Location
11391,(Copied from AEN97): microphone built-in while in calls sound like the windows are down when they actually are up,Bluetooth,Call Quality
17643,"The display provides too many options and many that seem pointless. I'm still trying to understand them. It is an overwhelming amount of information, most of which seems useless.",Information,DTU
12999,"Intermittently, I have been unable to access the music from my iPhone.  The songs are listed, but cannot be accessed when highlighted.   This happens every now and then....not always.  And the phone, conZZZts, etc have always been operational....so it seems to be an issue isolated to the music.",Bluetooth,Audio Streaming/Distortion
4860,I can say a command for the phone to call someone and it will dial my number. Or if it is an address it will route to a different street,Voice Recognition,Poor Recognition
3935,Seems to be an issue switching from bluetooth to Apple Car play. Calls drop and/or people can't hear me once the transfer happens.,Voice Recognition,Poor Recognition
9172,This problem could be related to my accent,Voice Recognition,Poor Recognition
3655,(Copied from AEN97): difficult to pair blue tooth phone,Bluetooth,DTU
20659, (Copied from AEN97): Have to manually disconnect Bluetooth on phone to use phone gps.,Bluetooth,Customer Education
7388,When I use voice commands the system will come up with totally different addresses if I'm trying to enter a street and house address.,Voice Recognition,Poor Recognition
17120,"NOT ONLY IS THE USB PORT IN AN INCONVENIANT PLACE, IT DOESN'T WORK WHEN CONNECTED TO MY IPHONE. I HAVE REPLACE MY IPHONE CHARGER SEVERAL TIMES, IT STILL DOES'T FUNCTION CORRECTLY! THE CAR ALSO DOESN'T HAVE NAVIGATION, I HATE THIS CAR COMPARED TO MY 2009 ACURA TL . I WORK LONG HOURS IN A HOSPITAL, THEREFORE I AM UNABLE TO TAKE THE CARE BACK TO THE DEALERSHIP.",USB/Aux In,USB Not Functioning
14150,(Copied from AEN97): unable to pair computer to radio in order to listen to my CD's,Bluetooth,Won't/Slow Pair
6038,Does not reconize my voice commands to call,Voice Recognition,Poor Recognition
8608,See previous answer about navigation system.,Voice Recognition,Poor Recognition
907,See my comments earlier with power ports which I thought included USB ports.,USB/Aux In,Poor Location
16461,"(Copied from AEN97): problems with traffic displaying on navigation, texts from phone and conZZZts from phone displaying. Resolved by conZZZt with dealer's specialist or reading manual.",Navigation,Traffic Info
4619,When i say a name to call it doesnt recognize. I dont use that option,Voice Recognition,Poor Recognition
16609,Used to have an easier switch to use and understand,Sunroof Switch,DTU
750,The ports are in a very tight location inside the center console. Need little fingers to get to it,USB/Aux In,Poor Location
20699,Will not connect to my older model flip phone.  Not a major issue.,Bluetooth,Compatibility
18916,"(Copied from FCD97): drivers seat belt difficult to reach for a 70 + old man ; phone, radio contarols on steering  wheel too small & difficult to find while driving",Steering Wheel Controls,DTU
3980,Often tells me my conZZZts are unavailable,Voice Recognition,Poor Recognition
16807,"It appears to be a conflict with Android auto. If you connect the USB to the phone before the car is started then the phone is routed to my chevy rather than android auto. As a result, sometimes the phone will not connect and it becomes a headache to get it to do so. Also in that mode the phone appears to connect to android auto but when making a call using android auto the call is placed but the driver can't hear the called party nor the called party hear the driver. I now make sure the BL is on the phone start the car and then connect the USB. Another problem is answering the call. You can't do it using the android app even when you see the call come in. I finally figured out for incoming calls you must use the steering wheel answer button.  Appears the Chevy my link is in conflict with Android auto. I used android auto exclusively in a previous car and loved how it works. For Android auto users the my link should yield to Android auto and not try to control it.",Android Auto,Stability
15491,car play issues,Apple Car Play,Not Functioning
7177,This happens in the XXc truck we have so we understand that this is normal so havent talk to the dealership about it.,Voice Recognition,Poor Recognition
17531,System often freezes and I had to restart the car completely,Navigation,Not Functioning
2660,"sometimes it's great sometimes it doesn't connect, sometimes it connects and knocks me off and i have to try and connect again and it becomes a hassle especially when i'm driving. haven't taken to dealer yet.",Bluetooth,Connection Loss
15689,Instructions too hard to understand.  Need to take to dealer for instruction tutoring.,Radio,DTU
6086,I speak as plain as possible and I have to do it several times before it works but most of the time I have to type it in,Voice Recognition,Poor Recognition
2773,"I have an iPod plugged into the USB port within the center console. It is difficult to reach, plug and unplug. The iPod connectivity itself is hit and miss. Sometimes, the Audio System has no problem locating it; other times, it is UNABLE to locate the plugged in iPod. Once again, the only way to take another crack at iPod connectivity is to turn off the MKZ (not just the Audio), wait a few minutes and restart the MKZ.",USB/Aux In,Device Not Recognized
13979,"Sometimes do not find that my phone is explicitly paired per the screen. Also when trying to use radio, I note that the speaker is connected to the telephone and there is no way of disconnecting. Thus I need to make another call and then disconnect before being able to connect to the radio",Bluetooth,Other
4425,Constantly repeats and asks if the command is correct,Voice Recognition,Poor Recognition
15402,Won't connect to my phone anymore  when it was already paired with my phone from the first day I purchased.,Bluetooth,Won't/Slow Connect
5965,often doesn't recognize my commands even though they were input by the dealership (address/commands/etc),Voice Recognition,Poor Recognition
15046,Does not recognize the phone when I enter the car sometimes.,Bluetooth,Won't/Slow Connect
20295,"2 cell phones were paired when new & worked fine for about a month. Then both phones lost connectivity & had to be recognized again. All was fine for a while then 1 phone lost connectivity & had to be recognized again. Currently, all ok",Bluetooth,Pairing Loss
16982,"System shows turns upcoming, but holds always hold map on destination - no """"in-flight"""" location shows.",Navigation,Route Guidance
8991,"I MAY OF HAD A PROBLEM WITH THE VOICE RECOGNITION [MISINTERPRETS COMMANDS], IT COULD OF BEEN MY FAULT, I AM STILL LEARNING HOW TO USE IT.",Voice Recognition,Poor Recognition
12889,hum on drivers side on speakers at times.,Audio,Vibration/Rattle
19506,(Copied from AEN97): It will not read the texting....but it might be me not knowing how to set that up,Bluetooth,SMS
188,Just in a difficult place to get to.,USB/Aux In,Poor Location
8463,I just don't believe my car understands my accent.,Voice Recognition,Poor Recognition
17127,USB port went bad within just a few weeks from leasing vehicle.,USB/Aux In,USB Not Functioning
18191,"The outlet is at the  bottom of the middle console and when you have items in the console you can not reach the plug.  Once I move my stuff out the way, I can get to it.  It is just annoying but I still use it.",Power Outlet,Poor Location
8064,"Our vehicle is fairly new and we did have problems with voice direction. Also, there are certain voice commands that it doesn't understand.",Voice Recognition,Poor Recognition
17586,I've been to two educational classes on how to use these features and still cannot make they work and they cannot be safely used while the vehicle is in operation,Information,DTU
18888,USB port is only for charging. (Copied from FCD97): The controls on the steering wheel are sub par. There is no way to advance a track when listening to music from the steering wheel. Hanging up a phone call is too complicated.,Steering Wheel Controls,DTU
12778,"Frequently was wrong on speed limits. It also does not give exits names, only the exit number.",Navigation,Map Info
11403,"(Copied from AEN97): The outgoing call was distorted on the called-number side with squelch or feedback. The root cause of the problem was identified by the dealer, and corrected.",Bluetooth,Call Quality
7444,"(Copied from AEN97): Speaker for blue tooth does not pick up voice well while driving, the party on the other end during a hands free call has trouble hearing/understanding.",Voice Recognition,Poor Recognition
2296,"Sometimes 1) my iPhone freezes when car is trying to connect to it, or if I'm trying to make a call, or disconnect a call (and then the phone disconnects from Bluetooth pairing and won't reconnect), 2) I cannot use voice recognition from car (steering wheel button) to make a call on my iPhone, 3) the car randomly disconnects my iPhone, etc. My car and iPhone just have a clunky/funky relationship. I have to 'reset' them by turning off my car and then back on (i.e., 'reboot') the car.",Bluetooth,Connection Loss
9628,Most of the time the system down,Bluetooth,Not Enough Info
19359,Speakers sound tinny and cannot seem to equalize sound to the music. Sound quality is cheaply made Have not been to dealer yet,Audio,Bad sound Quality
14223," (Copied from AEN97): When conmecting or unconnecting phone, all sound, function and control stopped working.",Radio,Not Functioning
2260,(Copied from AEN97): The car would disconnect from the phone. The car may have a delayed response.,Bluetooth,Connection Loss
12694,"It is very cumbersome to find a point of interest, and completely outdated. Google Maps is much more user friendly for finding locations by name.",Navigation,Map Info
